,,,,,,,,,,,,,,,,,,,,
Qty,Value,Footprint,Link,,,,,,,,,,,,,,,,,
5,Capacitor ,0.1 uf,,,,,,,,,,,,,,,,,,
5,,22pf,,,,,,,,,,,,,,,,,,
5,,46uf,,,,,,,,,,,,,,,,,,
5,,1000uf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,FUSE,lm324m_Line:C320C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Screw_Terminal_1x02,2 pin male connector:2_pin_male_connector,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,L293D motor base,18 pin socket,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,EC2-5NU,EC2-5NU:RELAY_EC2-5NU,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,10k,pot:TRIM_3266W-1-103LF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,ARDUINO_NANO,ARDUINO_NANO:SHIELD_ARDUINO_NANO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,lm324,lm324_line:LM324N,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,AMS1117-5.0,Package_TO_SOT_Packages_THT:TO-126_Vertical,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,L293D,L293D:DIP880W50P254L2000H510Q16,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,Motor geared,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,Motor non geared,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Door slider ball bearing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,Quartz Crystal Oscillator,16MHz,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
20,1mm screw,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
